2 4 29 // magic number - today's date
#
#   VizieR Astronomical Server: vizier.cfa.harvard.edu  2011-03-20T22:24:22
#Title: Transition probabilities in the HD molecule (Abgrall+, 2006)
#
#n1	v1	J1	n0	v0	J0	A	Etr	o-c
6	0	7	0	0	7	2.672E+007	111808.92	-1.14
6	0	7	0	1	7	8.711E+007	108282.78	          
6	0	7	0	2	7	1.159E+008	104931.77	          
6	0	7	0	3	7	8.159E+007	101753.32	          
6	0	7	0	4	7	3.285E+007	98745.33	          
6	0	7	0	5	7	7.564E+006	95907.22	          
6	0	7	0	6	7	9.289E+005	93239.61	          
6	0	7	0	7	7	4.953E+004	90744.76	          
6	0	7	0	8	7	5.249E+002	88426.10	          
6	0	7	0	9	7	5.404E+000	86289.93	          
6	0	7	0	10	7	3.293E-004	84344.30	          
6	0	7	0	11	7	3.433E-005	82601.06	          
6	0	7	0	12	7	6.475E-002	81076.36	          
6	0	7	0	13	7	9.610E-001	79790.85	          
6	0	7	0	14	7	4.739E-001	78774.86	          
6	0	7	0	15	7	1.071E-001	78069.45	          
6	0	8	0	0	8	2.650E+007	111478.32	-3.95
6	0	8	0	1	8	8.670E+007	107981.33	          
6	0	8	0	2	8	1.156E+008	104659.38	          
6	0	8	0	3	8	8.152E+007	101509.67	          
6	0	8	0	4	8	3.279E+007	98529.46	          
6	0	8	0	5	8	7.508E+006	95720.28	          
6	0	8	0	6	8	9.087E+005	93080.87	          
6	0	8	0	7	8	4.681E+004	90614.51	          
6	0	8	0	8	8	4.247E+002	88326.01	          
6	0	8	0	9	8	7.884E+000	86220.76	          
6	0	8	0	10	8	5.010E-002	84308.22	          
6	0	8	0	11	8	1.340E-003	82600.54	          
6	0	8	0	12	8	1.902E-001	81114.44	          
6	0	8	0	13	8	2.017E+000	79873.48	          
6	0	8	0	14	8	1.109E+000	78909.04	          
6	0	8	0	15	8	2.652E-001	78269.43	          
6	0	9	0	0	9	2.625E+007	111113.54	          
6	0	9	0	1	9	8.627E+007	107649.24	          
6	0	9	0	2	9	1.153E+008	104359.17	          
6	0	9	0	3	9	8.144E+007	101240.79	          
6	0	9	0	4	9	3.273E+007	98292.60	          
6	0	9	0	5	9	7.442E+006	95514.34	          
6	0	9	0	6	9	8.851E+005	92907.11	          
6	0	9	0	7	9	4.411E+004	90473.58	          
6	0	9	0	8	9	3.204E+002	88218.28	          
6	0	9	0	9	9	1.587E+001	86148.03	          
6	0	9	0	10	9	1.431E+000	84272.47	          
6	0	9	0	11	9	3.441E-002	82604.85	          
6	0	9	0	12	9	1.769E+000	81163.29	          
6	0	9	0	13	9	1.541E+001	79972.68	          
6	0	9	0	14	9	1.009E+001	79068.50	          
6	0	10	0	0	10	2.601E+007	110717.07	          
6	0	10	0	1	10	8.571E+007	107288.57	          
6	0	10	0	2	10	1.151E+008	104033.69	          
6	0	10	0	3	10	8.139E+007	100950.07	          
6	0	10	0	4	10	3.263E+007	98036.45	          
6	0	10	0	5	10	7.379E+006	95292.84	          
6	0	10	0	6	10	8.624E+005	92720.63	          
6	0	10	0	7	10	3.976E+004	90322.86	          
6	0	10	0	8	10	2.413E+002	88104.51	          
6	0	10	0	9	10	4.364E+000	86072.99	          
6	0	10	0	10	10	8.953E-001	84238.66	          
6	0	10	0	11	10	3.336E-002	82615.87	          
6	0	10	0	12	10	8.913E-001	81224.22	          
6	0	10	0	13	10	7.431E+000	80091.10	          
6	0	10	0	14	10	6.284E+000	79256.87	          
6	1	1	0	0	1	5.497E+007	114916.85	-4.35
6	1	1	0	1	1	6.992E+007	111288.54	          
6	1	1	0	2	1	6.815E+006	107837.81	          
6	1	1	0	3	1	2.698E+007	104560.65	          
6	1	1	0	4	1	8.805E+007	101455.10	          
6	1	1	0	5	1	7.277E+007	98519.60	          
6	1	1	0	6	1	2.653E+007	95754.07	          
6	1	1	0	7	1	4.531E+006	93159.64	          
6	1	1	0	8	1	3.031E+005	90739.11	          
6	1	1	0	9	1	3.491E+003	88497.06	          
6	1	1	0	10	1	2.180E+001	86440.32	          
6	1	1	0	11	1	4.266E+000	84578.15	          
6	1	1	0	12	1	2.478E+000	82923.66	          
6	1	1	0	13	1	7.892E+000	81493.48	          
6	1	1	0	14	1	2.845E+001	80311.47	          
6	1	1	0	15	1	7.720E+001	79406.71	          
6	1	1	0	16	1	1.071E+001	78819.93	          
6	1	1	0	17	1	2.476E-001	78599.98	          
6	1	2	0	0	2	5.487E+007	114823.62	-1.53
6	1	2	0	1	2	6.988E+007	111203.04	          
6	1	2	0	2	2	6.824E+006	107759.68	          
6	1	2	0	3	2	2.695E+007	104490.06	          
6	1	2	0	4	2	8.803E+007	101391.82	          
6	1	2	0	5	2	7.275E+007	98463.59	          
6	1	2	0	6	2	2.648E+007	95705.47	          
6	1	2	0	7	2	4.501E+006	93118.51	          
6	1	2	0	8	2	2.987E+005	90705.62	          
6	1	2	0	9	2	3.319E+003	88471.46	          
6	1	2	0	10	2	3.210E+001	86422.95	          
6	1	2	0	11	2	2.612E+000	84569.65	          
6	1	2	0	12	2	1.180E+000	82924.68	          
6	1	2	0	13	2	3.911E+000	81505.28	          
6	1	2	0	14	2	1.455E+001	80334.82	          
6	1	2	0	15	2	4.165E+001	79444.08	          
6	1	2	0	16	2	5.906E+000	78874.63	          
6	1	3	0	0	3	5.470E+007	114684.79	-2.67
6	1	3	0	1	3	6.983E+007	111075.69	          
6	1	3	0	2	3	6.838E+006	107643.64	          
6	1	3	0	3	3	2.692E+007	104385.08	          
6	1	3	0	4	3	8.801E+007	101297.88	          
6	1	3	0	5	3	7.273E+007	98380.62	          
6	1	3	0	6	3	2.640E+007	95633.52	          
6	1	3	0	7	3	4.456E+006	93057.70	          
6	1	3	0	8	3	2.920E+005	90656.26	          
6	1	3	0	9	3	3.070E+003	88433.89	          
6	1	3	0	10	3	4.929E+001	86397.72	          
6	1	3	0	11	3	1.159E+000	84557.63	          
6	1	3	0	12	3	1.768E-001	82926.93	          
6	1	3	0	13	3	9.232E-001	81523.43	          
6	1	3	0	14	3	3.905E+000	80371.07	          
6	1	3	0	15	3	1.258E+001	79501.37	          
6	1	3	0	16	3	1.846E+000	78958.35	          
6	1	4	0	0	4	5.451E+007	114501.12	-2.26
6	1	4	0	1	4	6.976E+007	110907.38	          
6	1	4	0	2	4	6.862E+006	107490.21	          
6	1	4	0	3	4	2.687E+007	104246.39	          
6	1	4	0	4	4	8.799E+007	101173.72	          
6	1	4	0	5	4	7.268E+007	98271.04	          
6	1	4	0	6	4	2.630E+007	95538.56	          
6	1	4	0	7	4	4.400E+006	92977.57	          
6	1	4	0	8	4	2.827E+005	90591.24	          
6	1	4	0	9	4	2.720E+003	88384.64	          
6	1	4	0	10	4	6.314E+001	86365.00	          
6	1	4	0	11	4	5.257E-001	84542.50	          
6	1	4	0	12	4	8.735E-003	82930.86	          
6	1	4	0	13	4	2.150E-001	81548.50	          
6	1	4	0	14	4	1.214E+000	80420.38	          
6	1	4	0	15	4	4.694E+000	79579.35	          
6	1	4	0	16	4	7.118E-001	79072.64	          
6	1	5	0	0	5	5.426E+007	114274.26	-0.3
6	1	5	0	1	5	6.965E+007	110699.31	          
6	1	5	0	2	5	6.894E+006	107300.92	          
6	1	5	0	3	5	2.680E+007	104075.44	          
6	1	5	0	4	5	8.797E+007	101020.87	          
6	1	5	0	5	5	7.263E+007	98136.27	          
6	1	5	0	6	5	2.617E+007	95421.95	          
6	1	5	0	7	5	4.331E+006	92879.40	          
6	1	5	0	8	5	2.709E+005	90511.99	          
6	1	5	0	9	5	2.298E+003	88325.00	          
6	1	5	0	10	5	7.481E+001	86325.94	          
6	1	5	0	11	5	1.930E-001	84525.34	          
6	1	5	0	12	5	1.410E-003	82937.76	          
6	1	5	0	13	5	5.516E-002	81582.08	          
6	1	5	0	14	5	5.383E-001	80484.32	          
6	1	5	0	15	5	2.604E+000	79679.91	          
6	1	5	0	16	5	3.939E-001	79220.90	          
6	1	6	0	0	6	5.396E+007	114005.24	-4.44
6	1	6	0	1	6	6.952E+007	110453.42	          
6	1	6	0	2	6	6.936E+006	107076.87	          
6	1	6	0	3	6	2.673E+007	103873.17	          
6	1	6	0	4	6	8.796E+007	100840.15	          
6	1	6	0	5	6	7.256E+007	97977.21	          
6	1	6	0	6	6	2.601E+007	95284.46	          
6	1	6	0	7	6	4.249E+006	92764.07	          
6	1	6	0	8	6	2.568E+005	90419.18	          
6	1	6	0	9	6	1.838E+003	88255.58	          
6	1	6	0	10	6	8.684E+001	86281.15	          
6	1	6	0	11	6	1.749E-002	84507.11	          
6	1	6	0	12	6	1.209E-002	82948.31	          
6	1	6	0	13	6	5.916E-003	81625.10	          
6	1	6	0	14	6	2.638E-001	80564.34	          
6	1	6	0	15	6	1.719E+000	79805.09	          
6	1	7	0	0	7	5.361E+007	113697.15	-9.9
6	1	7	0	1	7	6.938E+007	110171.01	          
6	1	7	0	2	7	6.987E+006	106820.00	          
6	1	7	0	3	7	2.663E+007	103641.55	          
6	1	7	0	4	7	8.795E+007	100633.56	          
6	1	7	0	5	7	7.248E+007	97795.45	          
