2 4 29 // magic number - today's date
# HD X rovibrational transition probabilities (25 June 2002, PCS)
# P. C. Stancil (2002, unpublished)
#
# NB - these are preliminary and may not be consistent with energy_X.dat!!!
#
# See P. C. Stancil & A. Dalgarno, ApJ 490, 76 (1997) for
#     details on the potential. Quadrupole moment from
#     L. Wolniewicz, I. Simbotin, & A. Dalgarno, ApJS 115, 293 (1998)
# for  X-X transition
#
#n1	v1	J1	n0	v0	J0	A
0	1	9	0	0	8	7.1576E-05
0	1	9	0	0	9	9.9018E-08
0	1	9	0	0	10	1.5896E-07
0	1	9	0	0	11	1.6428E-08
0	1	9	0	1	7	4.6559E-08
0	1	9	0	1	8	3.2886E-05
0	1	10	0	0	8	1.5342E-07
0	1	10	0	0	9	7.6823E-05
0	1	10	0	0	10	9.4877E-08
0	1	10	0	0	11	2.3719E-08
0	1	10	0	0	12	1.1254E-08
0	1	10	0	1	8	7.6410E-08
0	1	10	0	1	9	4.2201E-05
0	1	11	0	0	9	1.3030E-07
0	1	11	0	0	10	8.1379E-05
0	1	11	0	0	11	9.0533E-08
0	1	11	0	0	12	3.2706E-09
0	1	11	0	0	13	7.5125E-09
0	1	11	0	1	9	1.1758E-07
0	1	11	0	1	10	5.2198E-05
0	1	12	0	0	10	1.0501E-07
0	1	12	0	0	11	8.5173E-05
0	1	12	0	0	12	8.6011E-08
0	1	12	0	0	13	5.6312E-08
0	1	12	0	0	14	4.8732E-09
0	1	12	0	1	10	1.7154E-07
0	1	12	0	1	11	6.2597E-05
0	1	13	0	0	11	7.9233E-08
0	1	13	0	0	12	8.8166E-05
0	1	13	0	0	13	8.1340E-08
0	1	13	0	0	14	1.5114E-07
0	1	13	0	0	15	3.0617E-09
0	1	13	0	1	11	2.3927E-07
0	1	13	0	1	12	7.3113E-05
0	1	14	0	0	12	5.4686E-08
0	1	14	0	0	13	9.0346E-05
0	1	14	0	0	14	7.6555E-08
0	1	14	0	0	15	2.6419E-07
0	1	14	0	0	16	1.8550E-09
0	1	14	0	1	12	3.2116E-07
0	1	14	0	1	13	8.3470E-05
0	1	15	0	0	13	3.3050E-08
0	1	15	0	0	14	9.1734E-05
0	1	15	0	0	15	7.1694E-08
0	1	15	0	0	16	3.7857E-07
0	1	15	0	0	17	1.0778E-09
0	1	15	0	1	13	4.1693E-07
0	1	15	0	1	14	9.3412E-05
0	1	16	0	0	14	1.5870E-08
0	1	16	0	0	15	9.2376E-05
0	1	16	0	0	16	6.6793E-08
0	1	16	0	0	17	4.8278E-07
0	1	16	0	0	18	5.9596E-10
0	1	16	0	1	14	5.2565E-07
0	1	16	0	1	15	1.0271E-04
0	1	17	0	0	15	4.4953E-09
0	1	17	0	0	16	9.2338E-05
0	1	17	0	0	17	6.1888E-08
0	1	17	0	0	18	5.6952E-07
0	1	17	0	0	19	3.1043E-10
0	1	17	0	1	15	6.4578E-07
0	1	17	0	1	16	1.1118E-04
0	1	18	0	0	16	3.2039E-11
0	1	18	0	0	17	9.1705E-05
0	1	18	0	0	18	5.7018E-08
0	1	18	0	0	19	6.3479E-07
0	1	18	0	0	20	1.5014E-10
0	1	18	0	1	16	7.7521E-07
0	1	18	0	1	17	1.1867E-04
0	1	19	0	0	17	3.3122E-09
0	1	19	0	0	18	9.0568E-05
0	1	19	0	0	19	5.2215E-08
0	1	19	0	0	20	6.7710E-07
0	1	19	0	0	21	6.6020E-11
0	1	19	0	1	17	9.1139E-07
0	1	19	0	1	18	1.2506E-04
0	1	20	0	0	18	1.4880E-08
0	1	20	0	0	19	8.9022E-05
0	1	20	0	0	20	4.7514E-08
0	1	20	0	0	21	6.9691E-07
0	1	20	0	0	22	2.5558E-11
0	1	20	0	1	18	1.0514E-06
0	1	20	0	1	19	1.3028E-04
0	1	21	0	0	19	3.4991E-08
0	1	21	0	0	20	8.7155E-05
0	1	21	0	0	21	4.2943E-08
0	1	21	0	0	22	6.9607E-07
0	1	21	0	0	23	8.2627E-12
0	1	21	0	1	19	1.1921E-06
0	1	21	0	1	20	1.3430E-04
0	1	22	0	0	20	6.3626E-08
0	1	22	0	0	21	8.5043E-05
0	1	22	0	0	22	3.8532E-08
0	1	22	0	0	23	6.7745E-07
0	1	22	0	0	24	2.0282E-12
0	1	22	0	1	20	1.3301E-06
0	1	22	0	1	21	1.3711E-04
0	1	23	0	0	21	1.0051E-07
0	1	23	0	0	22	8.2747E-05
0	1	23	0	0	23	3.4303E-08
0	1	23	0	0	24	6.4446E-07
0	1	23	0	0	25	3.0947E-13
0	1	23	0	1	21	1.4623E-06
0	1	23	0	1	22	1.3873E-04
0	1	24	0	0	22	1.4512E-07
0	1	24	0	0	23	8.0313E-05
0	1	24	0	0	24	3.0281E-08
0	1	24	0	0	25	6.0067E-07
0	1	24	0	0	26	1.6885E-14
0	1	24	0	1	22	1.5853E-06
0	1	24	0	1	23	1.3920E-04
0	1	25	0	0	23	1.9676E-07
0	1	25	0	0	24	7.7768E-05
0	1	25	0	0	25	2.6482E-08
0	1	25	0	0	26	5.4954E-07
0	1	25	0	0	27	1.2744E-17
0	1	25	0	1	23	1.6961E-06
0	1	25	0	1	24	1.3857E-04
0	1	26	0	0	24	2.5452E-07
0	1	26	0	0	25	7.5131E-05
0	1	26	0	0	26	2.2924E-08
0	1	26	0	0	27	4.9415E-07
0	1	26	0	1	24	1.7919E-06
0	1	26	0	1	25	1.3690E-04
0	1	27	0	0	25	3.1736E-07
0	1	27	0	0	26	7.2411E-05
0	1	27	0	0	27	1.9618E-08
0	1	27	0	0	28	4.3702E-07
0	1	27	0	1	25	1.8701E-06
0	1	27	0	1	26	1.3426E-04
0	1	27	0	2	25	1.2371E-19
0	1	28	0	0	26	3.8410E-07
0	1	28	0	0	27	6.9619E-05
0	1	28	0	0	28	1.6575E-08
0	1	28	0	0	29	3.8016E-07
0	1	28	0	1	26	1.9285E-06
0	1	28	0	1	27	1.3070E-04
0	1	28	0	2	26	1.0520E-14
0	1	29	0	0	27	4.5346E-07
0	1	29	0	0	28	6.6767E-05
0	1	29	0	0	29	1.3802E-08
0	1	29	0	0	30	3.2504E-07
0	1	29	0	1	27	1.9652E-06
0	1	29	0	1	28	1.2628E-04
0	1	29	0	2	27	2.4013E-13
0	1	30	0	0	28	5.2405E-07
0	1	30	0	0	29	6.3871E-05
0	1	30	0	0	30	1.1301E-08
0	1	30	0	0	31	2.7270E-07
0	1	30	0	1	28	1.9788E-06
0	1	30	0	1	29	1.2107E-04
0	1	30	0	2	28	1.5468E-12
0	1	31	0	0	29	5.9439E-07
0	1	31	0	0	30	6.0953E-05
0	1	31	0	0	31	9.0752E-09
0	1	31	0	0	32	2.2391E-07
0	1	31	0	1	29	1.9682E-06
0	1	31	0	1	30	1.1513E-04
0	1	31	0	2	29	5.7973E-12
0	1	32	0	0	30	6.6290E-07
0	1	32	0	0	31	5.8038E-05
0	1	32	0	0	32	7.1211E-09
0	1	32	0	0	33	1.7921E-07
0	1	32	0	1	30	1.9327E-06
0	1	32	0	1	31	1.0851E-04
0	1	32	0	2	30	1.6081E-11
0	1	33	0	0	31	7.2788E-07
0	1	33	0	0	32	5.5148E-05
0	1	33	0	0	33	5.4344E-09
0	1	33	0	1	31	1.8720E-06
0	1	33	0	1	32	1.0127E-04
0	1	33	0	2	31	3.6867E-11
0	2	0	0	0	1	3.2079E-05
0	2	0	0	0	2	1.2828E-07
0	2	0	0	1	1	4.8439E-05
0	2	0	0	1	2	6.0443E-07
0	2	1	0	0	0	1.4513E-05
0	2	1	0	0	1	6.9390E-08
0	2	1	0	0	2	1.7953E-05
0	2	1	0	0	3	6.1236E-08
0	2	1	0	1	0	2.6072E-05
0	2	1	0	1	1	2.9228E-07
0	2	1	0	1	2	2.4364E-05
0	2	1	0	1	3	3.0960E-07
0	2	1	0	2	0	3.7435E-08
0	2	2	0	0	0	4.4734E-08
0	2	2	0	0	1	1.9849E-05
0	2	2	0	0	2	4.9516E-08
0	2	2	0	0	3	1.3363E-05
0	2	2	0	0	4	4.0838E-08
0	2	2	0	1	0	1.6810E-07
0	2	2	0	1	1	3.8321E-05
0	2	2	0	1	2	2.0695E-07
0	2	2	0	1	3	1.6005E-05
0	2	2	0	1	4	2.2128E-07
0	2	2	0	2	0	6.0423E-12
0	2	2	0	2	1	3.5468E-07
0	2	3	0	0	1	6.6348E-08
0	2	3	0	0	2	2.3893E-05
0	2	3	0	0	3	4.6145E-08
0	2	3	0	0	4	1.0367E-05
0	2	3	0	0	5	2.8757E-08
0	2	3	0	1	1	2.2945E-07
0	2	3	0	1	2	4.9207E-05
0	2	3	0	1	3	1.9063E-07
0	2	3	0	1	4	1.0701E-05
0	2	3	0	1	5	1.6691E-07
0	2	3	0	2	1	9.7994E-11
0	2	3	0	2	2	1.2549E-06
0	2	4	0	0	2	8.3295E-08
0	2	4	0	0	3	2.7451E-05
0	2	4	0	0	4	4.4848E-08
0	2	4	0	0	5	8.0879E-06
0	2	4	0	0	6	2.0393E-08
0	2	4	0	1	2	2.6362E-07
0	2	4	0	1	3	5.9937E-05
0	2	4	0	1	4	1.8244E-07
0	2	4	0	1	5	6.9688E-06
0	2	4	0	1	6	1.2682E-07
0	2	4	0	2	2	5.6898E-10
0	2	4	0	2	3	2.9929E-06
0	2	5	0	0	3	9.7791E-08
0	2	5	0	0	4	3.0683E-05
0	2	5	0	0	5	4.4142E-08
0	2	5	0	0	6	6.2751E-06
0	2	5	0	0	7	1.4331E-08
0	2	5	0	1	3	2.8127E-07
0	2	5	0	1	4	7.0662E-05
0	2	5	0	1	5	1.7617E-07
0	2	5	0	1	6	4.3171E-06
0	2	5	0	1	7	9.5588E-08
0	2	5	0	2	3	2.0411E-09
0	2	5	0	2	4	5.7527E-06
0	2	6	0	0	4	1.1016E-07
0	2	6	0	0	5	3.3602E-05
0	2	6	0	0	6	4.3653E-08
0	2	6	0	0	7	4.8196E-06
0	2	6	0	0	8	9.9032E-09
0	2	6	0	1	4	2.8544E-07
0	2	6	0	1	5	8.1281E-05
0	2	6	0	1	6	1.7029E-07
0	2	6	0	1	7	2.4809E-06
0	2	6	0	1	8	7.0999E-08
0	2	6	0	2	4	5.5160E-09
0	2	6	0	2	5	9.6361E-06
0	2	7	0	0	5	1.2026E-07
0	2	7	0	0	6	3.6183E-05
0	2	7	0	0	7	4.3244E-08
0	2	7	0	0	8	3.6547E-06
0	2	7	0	0	9	6.6963E-09
0	2	7	0	1	5	2.7760E-07
0	2	7	0	1	6	9.1607E-05
0	2	7	0	1	7	1.6429E-07
0	2	7	0	1	8	1.2708E-06
0	2	7	0	1	9	5.1777E-08
0	2	7	0	2	5	1.2351E-08
0	2	7	0	2	6	1.4659E-05
0	2	8	0	0	6	1.2783E-07
0	2	8	0	0	7	3.8388E-05
0	2	8	0	0	8	4.2853E-08
0	2	8	0	0	9	2.7305E-06
0	2	8	0	0	10	4.4121E-09
0	2	8	0	1	6	2.5915E-07
0	2	8	0	1	7	1.0144E-04
0	2	8	0	1	8	1.5800E-07
0	2	8	0	1	9	5.3535E-07
0	2	8	0	1	10	3.6981E-08
0	2	8	0	2	6	2.4165E-08
0	2	8	0	2	7	2.0757E-05
0	2	9	0	0	7	1.3264E-07
0	2	9	0	0	8	4.0182E-05
0	2	9	0	0	9	4.2448E-08
0	2	9	0	0	10	2.0051E-06
0	2	9	0	0	11	2.8206E-09
0	2	9	0	1	7	2.3181E-07
0	2	9	0	1	8	1.1057E-04
0	2	9	0	1	9	1.5135E-07
0	2	9	0	1	10	1.4887E-07
0	2	9	0	1	11	2.5813E-08
0	2	9	0	2	7	4.2697E-08
0	2	9	0	2	8	2.7794E-05
0	2	10	0	0	8	1.3455E-07
0	2	10	0	0	9	4.1538E-05
0	2	10	0	0	10	4.2008E-08
0	2	10	0	0	11	1.4425E-06
0	2	10	0	0	12	1.7404E-09
0	2	10	0	1	8	1.9774E-07
0	2	10	0	1	9	1.1886E-04
0	2	10	0	1	10	1.4435E-07
0	2	10	0	1	11	7.6217E-09
0	2	10	0	1	12	1.7572E-08
0	2	10	0	2	8	6.9629E-08
0	2	10	0	2	9	3.5581E-05
0	2	11	0	0	9	1.3355E-07
0	2	11	0	0	10	4.2439E-05
0	2	11	0	0	11	4.1521E-08
0	2	11	0	0	12	1.0114E-06
0	2	11	0	0	13	1.0294E-09
0	2	11	0	1	9	1.5949E-07
0	2	11	0	1	10	1.2617E-04
0	2	11	0	1	11	1.3703E-07
0	2	11	0	1	12	2.7794E-08
0	2	11	0	1	13	1.1638E-08
0	2	11	0	2	9	1.0642E-07
0	2	11	0	2	10	4.3894E-05
0	2	12	0	0	10	1.2975E-07
0	2	12	0	0	11	4.2877E-05
0	2	12	0	0	12	4.0978E-08
0	2	12	0	0	13	6.8537E-07
0	2	12	0	0	14	5.7797E-10
0	2	12	0	1	10	1.1990E-07
0	2	12	0	1	11	1.3241E-04
0	2	12	0	1	12	1.2943E-07
0	2	12	0	1	13	1.4388E-07
0	2	12	0	1	14	7.4773E-09
0	2	12	0	2	10	1.5413E-07
0	2	12	0	2	11	5.2489E-05
0	2	13	0	0	11	1.2337E-07
0	2	13	0	0	12	4.2851E-05
0	2	13	0	0	13	4.0372E-08
0	2	13	0	0	14	4.4269E-07
0	2	13	0	0	15	3.0363E-10
0	2	13	0	1	11	8.1895E-08
0	2	13	0	1	12	1.3756E-04
0	2	13	0	1	13	1.2161E-07
0	2	13	0	1	14	3.0679E-07
0	2	13	0	1	15	4.6430E-09
0	2	13	0	2	11	2.1332E-07
0	2	13	0	2	12	6.1119E-05
0	2	14	0	0	12	1.1476E-07
0	2	14	0	0	13	4.2374E-05
0	2	14	0	0	14	3.9699E-08
