3 2 11 // magic number - today's date
#
# this file gives the vibration and rotation dissociation probability
# and kinetic energy (eV) of the B electronic state of deuterated hydrogen
#
# data are from
#>>refer	HD	As	Abgrall, H., \& Roueff, E. 2006, A&AS, 445, 361
#
# Mean kinetic energies are, when available, from
#>>refer	HD	As	Stephens, T.L. \& Dalgarno, A. 1973, ApJ, 186, 165
# Remaining mean kinetic energies are taken from the mean results
# of the H2 electronic state
#
#vib	J	Diss prob	Kin Ener (eV)
20	4	4.66E+008	0.45
21	4	4.68E+008	0.45
22	4	3.12E+008	0.45
23	4	4.59E+008	0.45
24	4	4.33E+008	0.45
25	4	4.55E+008	0.45
26	4	4.46E+008	0.45
27	4	4.45E+008	0.45
28	4	4.40E+008	0.45
29	4	4.32E+008	0.45
30	4	4.33E+008	0.45
31	4	4.21E+008	0.45
32	4	4.38E+008	0.45
33	4	4.32E+008	0.45
34	4	4.57E+008	0.45
35	4	4.53E+008	0.45
36	4	4.90E+008	0.45
37	4	5.50E+008	0.45
38	4	5.66E+008	0.45
39	4	6.74E+008	0.45
40	4	7.76E+008	0.45
41	4	1.02E+009	0.45
42	4	1.17E+009	0.45
43	4	1.18E+009	0.45
0	5	4.68E-001	0.45
1	5	1.20E+002	0.45
2	5	2.39E+003	0.45
3	5	5.20E+004	0.45
4	5	9.47E+005	0.45
5	5	3.68E+006	0.45
6	5	3.63E+007	0.45
7	5	1.02E+008	0.45
8	5	2.42E+008	0.45
9	5	4.38E+008	0.45
10	5	4.67E+008	0.45
11	5	2.45E+008	0.45
12	5	4.73E+008	0.45
13	5	5.04E+008	0.45
14	5	4.89E+008	0.45
15	5	4.86E+008	0.45
16	5	4.94E+008	0.45
17	5	4.86E+008	0.45
18	5	4.92E+008	0.45
19	5	4.83E+008	0.45
20	5	4.24E+008	0.45
21	5	4.66E+008	0.45
22	5	4.05E+008	0.45
23	5	4.60E+008	0.45
24	5	4.46E+008	0.45
25	5	4.53E+008	0.45
26	5	4.46E+008	0.45
27	5	4.40E+008	0.45
28	5	4.38E+008	0.45
29	5	4.14E+008	0.45
30	5	4.33E+008	0.45
31	5	3.68E+008	0.45
32	5	4.41E+008	0.45
33	5	3.82E+008	0.45
34	5	4.60E+008	0.45
35	5	4.99E+008	0.45
36	5	4.91E+008	0.45
37	5	5.50E+008	0.45
38	5	5.74E+008	0.45
39	5	6.60E+008	0.45
40	5	7.88E+008	0.45
41	5	1.07E+009	0.45
42	5	9.74E+008	0.45
0	6	7.60E-001	0.45
1	6	1.40E+002	0.45
2	6	4.10E+003	0.45
3	6	5.22E+004	0.45
4	6	1.17E+006	0.45
5	6	5.05E+006	0.45
6	6	3.58E+007	0.45
7	6	1.25E+008	0.45
8	6	2.45E+008	0.45
9	6	4.13E+008	0.45
10	6	4.64E+008	0.45
11	6	4.23E+008	0.45
12	6	4.81E+008	0.45
13	6	5.03E+008	0.45
14	6	4.85E+008	0.45
15	6	4.88E+008	0.45
16	6	4.90E+008	0.45
17	6	4.87E+008	0.45
18	6	4.67E+008	0.45
19	6	4.79E+008	0.45
20	6	3.54E+008	0.45
21	6	4.65E+008	0.45
22	6	4.45E+008	0.45
23	6	4.58E+008	0.45
24	6	4.50E+008	0.45
25	6	4.49E+008	0.45
26	6	4.46E+008	0.45
27	6	4.21E+008	0.45
28	6	4.37E+008	0.45
29	6	3.05E+008	0.45
30	6	4.32E+008	0.45
31	6	3.66E+008	0.45
32	6	4.42E+008	0.45
33	6	4.37E+008	0.45
34	6	4.61E+008	0.45
35	6	4.88E+008	0.45
36	6	4.95E+008	0.45
37	6	5.32E+008	0.45
38	6	5.82E+008	0.45
39	6	6.69E+008	0.45
40	6	8.29E+008	0.45
41	6	1.05E+009	0.45
42	6	1.20E+009	0.45
0	7	1.38E+000	0.45
1	7	1.77E+002	0.45
2	7	7.25E+003	0.45
3	7	6.42E+004	0.45
4	7	1.57E+006	0.45
5	7	7.71E+006	0.45
6	7	3.84E+007	0.45
7	7	1.68E+008	0.45
8	7	2.56E+008	0.45
9	7	4.64E+008	0.45
10	7	4.66E+008	0.45
11	7	4.41E+008	0.45
12	7	5.19E+008	0.45
13	7	5.06E+008	0.45
14	7	4.91E+008	0.45
15	7	5.01E+008	0.45
16	7	4.74E+008	0.45
17	7	4.98E+008	0.45
18	7	3.07E+008	0.45
19	7	4.80E+008	0.45
20	7	4.53E+008	0.45
21	7	4.63E+008	0.45
22	7	4.56E+008	0.45
23	7	4.55E+008	0.45
24	7	4.54E+008	0.45
25	7	4.29E+008	0.45
26	7	4.46E+008	0.45
27	7	2.80E+008	0.45
28	7	4.35E+008	0.45
29	7	3.79E+008	0.45
30	7	4.31E+008	0.45
31	7	4.19E+008	0.45
32	7	4.44E+008	0.45
33	7	4.49E+008	0.45
34	7	4.59E+008	0.45
35	7	4.83E+008	0.45
36	7	5.08E+008	0.45
37	7	5.37E+008	0.45
38	7	5.92E+008	0.45
39	7	6.83E+008	0.45
40	7	8.93E+008	0.45
41	7	1.13E+009	0.45
42	7	1.19E+009	0.45
0	8	3.06E+000	0.45
1	8	1.93E+002	0.45
2	8	1.07E+004	0.45
3	8	1.02E+005	0.45
4	8	1.65E+006	0.45
5	8	1.17E+007	0.45
6	8	3.95E+007	0.45
7	8	1.84E+008	0.45
8	8	2.94E+008	0.45
9	8	4.58E+008	0.45
10	8	4.59E+008	0.45
11	8	4.32E+008	0.45
12	8	5.16E+008	0.45
13	8	5.01E+008	0.45
14	8	4.71E+008	0.45
15	8	5.07E+008	0.45
16	8	2.86E+008	0.45
17	8	5.00E+008	0.45
18	8	4.70E+008	0.45
19	8	4.76E+008	0.45
20	8	4.67E+008	0.45
21	8	4.58E+008	0.45
22	8	4.61E+008	0.45
23	8	4.32E+008	0.45
24	8	4.55E+008	0.45
25	8	2.56E+008	0.45
26	8	4.44E+008	0.45
27	8	3.99E+008	0.45
28	8	4.32E+008	0.45
29	8	4.19E+008	0.45
30	8	4.29E+008	0.45
31	8	4.32E+008	0.45
32	8	4.43E+008	0.45
33	8	4.57E+008	0.45
34	8	4.54E+008	0.45
35	8	4.82E+008	0.45
36	8	5.22E+008	0.45
37	8	5.45E+008	0.45
38	8	6.24E+008	0.45
39	8	7.02E+008	0.45
40	8	8.45E+008	0.45
41	8	1.07E+009	0.45
0	9	8.46E+000	0.45
1	9	4.07E+002	0.45
2	9	1.38E+004	0.45
3	9	2.87E+005	0.45
4	9	2.00E+006	0.45
5	9	1.75E+007	0.45
6	9	7.19E+007	0.45
7	9	1.89E+008	0.45
8	9	3.87E+008	0.45
9	9	4.91E+008	0.45
10	9	4.60E+008	0.45
11	9	4.89E+008	0.45
12	9	5.13E+008	0.45
13	9	5.01E+008	0.45
14	9	3.28E+008	0.45
15	9	5.07E+008	0.45
16	9	4.83E+008	0.45
17	9	4.98E+008	0.45
18	9	4.82E+008	0.45
19	9	4.74E+008	0.45
20	9	4.71E+008	0.45
21	9	4.38E+008	0.45
22	9	4.64E+008	0.45
23	9	2.54E+008	0.45
24	9	4.54E+008	0.45
25	9	4.16E+008	0.45
26	9	4.40E+008	0.45
27	9	4.29E+008	0.45
28	9	4.26E+008	0.45
29	9	4.27E+008	0.45
30	9	4.24E+008	0.45
31	9	4.40E+008	0.45
32	9	4.20E+008	0.45
33	9	4.60E+008	0.45
34	9	4.65E+008	0.45
35	9	4.83E+008	0.45
36	9	6.16E+008	0.45
37	9	5.54E+008	0.45
38	9	6.70E+008	0.45
39	9	7.31E+008	0.45
40	9	9.47E+008	0.45
41	9	1.20E+009	0.45
0	10	1.10E+001	0.45
1	10	7.56E+002	0.45
2	10	1.65E+004	0.45
3	10	3.70E+005	0.45
4	10	2.80E+006	0.45
5	10	1.85E+007	0.45
6	10	8.42E+007	0.45
7	10	2.05E+008	0.45
8	10	3.91E+008	0.45
9	10	4.77E+008	0.45
10	10	4.42E+008	0.45
11	10	4.78E+008	0.45
12	10	4.31E+008	0.45
13	10	4.92E+008	0.45
14	10	4.91E+008	0.45
15	10	5.06E+008	0.45
16	10	4.90E+008	0.45
17	10	4.91E+008	0.45
18	10	4.81E+008	0.45
19	10	4.42E+008	0.45
20	10	4.72E+008	0.45
21	10	3.18E+008	0.45
22	10	4.63E+008	0.45
23	10	4.34E+008	0.45
24	10	4.50E+008	0.45
25	10	4.39E+008	0.45
26	10	4.30E+008	0.45
27	10	4.34E+008	0.45
28	10	3.90E+008	0.45
29	10	4.31E+008	0.45
30	10	3.09E+008	0.45
31	10	4.44E+008	0.45
32	10	4.11E+008	0.45
33	10	4.58E+008	0.45
34	10	4.81E+008	0.45
35	10	4.88E+008	0.45
36	10	5.23E+008	0.45
37	10	5.64E+008	0.45
38	10	6.34E+008	0.45
39	10	7.71E+008	0.45
40	10	1.03E+009	0.45

