2002 10 22 date incorporated - used by code to verify proper file is used
#
# This data, together with the fits generated by Nick Abel,
# constitute the UTA inner shell treatment in the code.
# This data file is based on files provided by Ehud Behar,
# and was originally published in
# >>refer	Fe	inner shell	Behar, E., Sako, M, Kahn, S.M., 
# >>refercon	2001, ApJ, 563, 497-504
# the fits were based on the paper
# >>refer	Fe	inner shell	Behar, E., & Netzer, H., 2002, ApJ, 570, 165-170
#
# all lines starting with # are comments and are ignored
# data are tab delimited
# these are all Fe lines - ion is stage of ionization, 0 is atom
#
# for atomic iron the statistical weights are given, since they were included
# in the original data file from Ehud.  These are zero in all other stages of
# ionization since they were not provided
#
# the last number is the absorption oscillator strength
#
#ion	g(u)	g(l)	wl	A	A/(A+A^a)	f
0	7	9	17.3991	4.4970E+07	3.4700E-81	1.5880E-06
0	9	9	17.4015	2.5790E+07	2.0770E-69	1.1710E-06
0	7	9	17.4347	2.4400E+07	1.6860E-67	8.6500E-07
0	11	9	17.0664	1.5350E+07	2.4040E-75	8.1890E-07
0	7	9	17.1072	2.2260E+07	1.0550E-75	7.5930E-07
0	7	9	17.1342	2.1970E+07	5.2910E-71	7.5230E-07
0	9	9	17.3239	1.4120E+07	7.1430E-79	6.3520E-07
0	7	9	17.1594	1.6830E+07	2.9340E-105	5.7770E-07
0	9	9	17.3623	8.0840E+06	1.5710E-96	3.6540E-07
0	9	9	17.0649	6.8260E+06	7.0750E-108	2.9800E-07
0	7	9	17.0338	5.9990E+06	1.7870E-107	2.0290E-07
0	11	9	17.3642	1.8330E+06	3.7980E-85	1.0120E-07
0	9	9	17.0346	1.2620E+05	4.6190E-73	5.4910E-09
0	7	9	17.3074	1.1440E+05	5.6000E-83	3.9970E-09
1	0	0	17.4505	2.3300E+12	6.6718E-03	8.5100E-02
1	0	0	17.4672	1.2330E+12	4.2601E-03	5.6420E-02
1	0	0	17.4845	7.5890E+11	2.5402E-03	4.1740E-02
1	0	0	17.4622	6.7380E+11	2.4460E-03	3.0800E-02
1	0	0	17.1409	6.4330E+11	1.6990E-03	2.8340E-02
1	0	0	17.4934	4.9350E+11	1.8665E-03	2.2640E-02
1	0	0	17.4029	3.8540E+11	9.7425E-04	1.7500E-02
1	0	0	17.1487	3.6900E+11	1.1612E-03	1.6270E-02
1	0	0	17.4384	4.2580E+11	1.4783E-03	1.5530E-02
1	0	0	17.3552	3.4330E+11	8.1304E-04	1.5500E-02
1	0	0	17.1627	2.7280E+11	8.5204E-04	1.4460E-02
1	0	0	17.5105	2.4780E+11	1.0597E-03	1.3670E-02
1	0	0	17.4631	2.8240E+11	9.7151E-04	1.2910E-02
1	0	0	17.4790	3.5060E+11	1.1235E-03	1.2850E-02
1	0	0	17.5257	1.8910E+11	8.5184E-04	1.0450E-02
1	0	0	17.5129	2.1950E+11	8.9366E-04	1.0100E-02
1	0	0	17.1531	2.8300E+11	8.1796E-04	9.9860E-03
1	0	0	17.1782	2.1590E+11	6.4387E-04	9.5540E-03
1	0	0	17.4492	2.5340E+11	7.8004E-04	9.2520E-03
1	0	0	17.4764	2.0020E+11	6.6711E-04	9.1660E-03
1	0	0	17.4611	2.4500E+11	7.1440E-04	8.9610E-03
1	0	0	17.4185	1.2000E+11	3.7184E-04	6.5500E-03
1	0	0	17.4054	1.4110E+11	3.9832E-04	5.1270E-03
1	0	0	17.1293	1.1250E+11	3.3884E-04	4.9480E-03
1	0	0	17.1417	1.0770E+11	2.6924E-04	4.7440E-03
1	0	0	17.4058	7.6440E+10	2.1601E-04	4.1670E-03
1	0	0	17.5059	7.0920E+10	2.8180E-04	3.9100E-03
1	0	0	17.3992	6.9540E+10	1.8442E-04	3.7870E-03
1	0	0	17.1866	1.0630E+11	3.2940E-04	3.7660E-03
1	0	0	17.4357	5.9920E+10	2.0530E-04	3.2770E-03
1	0	0	17.4636	8.9360E+10	2.4257E-04	3.2690E-03
1	0	0	17.3778	8.2090E+10	1.9500E-04	2.9730E-03
1	0	0	17.5013	5.3580E+10	1.9360E-04	1.9680E-03
1	0	0	17.4196	4.2830E+10	1.3068E-04	1.9490E-03
1	0	0	17.4922	5.2590E+10	1.9218E-04	1.9300E-03
1	0	0	17.3976	5.0200E+10	1.2403E-04	1.8230E-03
1	0	0	17.1264	3.1710E+10	1.0548E-04	1.6730E-03
1	0	0	17.3913	4.3960E+10	1.1471E-04	1.5950E-03
1	0	0	17.3978	3.3280E+10	7.9025E-05	1.5100E-03
1	0	0	17.1612	3.9310E+10	1.2337E-04	1.3890E-03
1	0	0	17.4165	3.0190E+10	8.8215E-05	1.3730E-03
1	0	0	17.0922	2.2810E+10	5.8245E-05	1.1990E-03
