!MOLECULE
CH3OH                                                                   
!MOLECULAR WEIGHT
32
! NUMBER OF ENERGY LEVELS
312
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J_k_v
  140   203.700194103  31.0  15_2_0
  141   205.031365637   3.0   1_0_1
  142   206.310000000  31.0  15_-2_0
  143   206.496937093  25.0  12_-5_0
  144   206.751000000   7.0   3_1_1
  145   207.452021591  29.0  14_-3_0
  146   207.486427111  21.0  10_6_0
  147   208.006000000  27.0  13_4_0
  148   208.250564409   5.0   2_0_1
  149   213.078000000   7.0   3_0_1
  150   213.187408790   9.0   4_1_1
  151   213.299000000  15.0   7_7_0
  152   214.549896419  21.0  10_-6_0
  153   214.877459455  25.0  12_5_0
  154   217.359000000  33.0  16_-1_0
  155   219.515000000   9.0   4_0_1
  156   220.529000000  15.0   7_-7_0
  157   221.233164638  11.0   5_1_1
  158   221.285000000  31.0  15_3_0
  159   222.221289665  33.0  16_0_0
  160   224.936000000  29.0  14_-4_0
  161   225.220200270  23.0  11_6_0
  162   226.197376483  17.0   8_7_0
  163   227.454920940  27.0  13_-5_0
  164   227.561000000  11.0   5_0_1
  165   228.406000000   7.0   3_-3_1
  166   228.541000000  33.0  16_1_0
  167   229.529581774  33.0  16_2_0
  168   230.578000000  29.0  14_4_0
  169   230.887665409  13.0   6_1_1
  170   231.635000000  31.0  15_-3_0
  171   232.181903018  33.0  16_-2_0
  172   232.284920103  23.0  11_-6_0
  173   233.428466170  17.0   8_-7_0
  174   234.842209279   9.0   4_-3_1
  175   235.834134896  27.0  13_5_0
  176   237.215000000  13.0   6_0_1
  177   240.706746906  19.0   9_7_0
  178   242.149868308  15.0   7_1_1
  179   242.886414322  11.0   5_-3_1
  180   244.563520474  25.0  12_6_0
  181   244.667000000  35.0  17_-1_0
  182   247.101000000  33.0  16_3_0
  183   247.938783223  19.0   9_-7_0
  184   248.478000000  15.0   7_0_1
  185   249.113000000  31.0  15_-4_0
  186   249.440599084  35.0  17_0_0
  187   250.023067591  29.0  14_-5_0
  188   251.629550848  25.0  12_-6_0
  189   252.540158829  13.0   6_-3_1
  190   252.756000000   5.0   2_-2_1
  191   254.759000000  31.0  15_4_0
  192   255.021000000  17.0   8_1_1
  193   255.955000000  35.0  17_1_0
  194   256.827795507  21.0  10_7_0
  195   256.966000000  35.0  17_2_0
  196   257.425502987  33.0  16_-3_0
  197   257.583632288   7.0   3_-2_1
  198   258.399475505  29.0  14_5_0
  199   259.678991368  35.0  17_-2_0
  200   261.348000000  17.0   8_0_1
  201   263.167000000   9.0   4_4_1
  202   263.801167751  15.0   7_-3_1
  203   264.020522829   9.0   4_-2_1
  204   264.060707238  21.0  10_-7_0
  205   265.516507973  27.0  13_6_0
  206   269.499000000  19.0   9_1_1
  207   271.211204167  11.0   5_4_1
  208   272.065145685  11.0   5_-2_1
  209   272.585754764  27.0  13_-6_0
  210   273.566000000  37.0  18_-1_0
  211   274.202000000  31.0  15_-5_0
  212   274.530000000  35.0  17_3_0
  213   274.559481657  23.0  11_7_0
  214   274.899444830  33.0  16_-4_0
  215   275.826000000  19.0   9_0_1
  216   275.995000000  17.0   8_-8_0
  217   276.670521812  17.0   8_-3_1
  218   277.279000000   5.0   2_2_1
  219   278.241042524  37.0  18_0_0
  220   280.549000000  33.0  16_4_0
  221   280.864505468  13.0   6_4_1
  222   281.719427972  13.0   6_-2_1
  223   281.793195951  23.0  11_-7_0
  224   282.107000000   7.0   3_2_1
  225   282.573429847  31.0  15_5_0
  226   283.431000000   3.0   1_-1_1
  227   284.825000000  35.0  17_-3_0
  228   284.979000000  37.0  18_1_0
  229   285.477000000  17.0   8_8_0
  230   285.584000000  21.0  10_1_1
  231   286.008322125  37.0  18_2_0
  232   286.649950391   5.0   2_-1_1
  233   288.079286853  29.0  14_6_0
  234   288.544000000   9.0   4_2_1
  235   288.803018979  37.0  18_-2_0
  236   290.501470506  19.0   9_-8_0
  237   291.148000000  19.0   9_-3_1
  238   291.477862933   7.0   3_-1_1
  239   291.911694329  21.0  10_0_1
  240   292.124512197  15.0   7_4_1
  241   292.370000000   9.0   4_-4_1
  242   292.980299142  15.0   7_-2_1
  243   293.900767597  25.0  12_7_0
  244   294.283744527   7.0   3_3_1
  245   295.151243360  29.0  14_-6_0
  246   296.590000000  11.0   5_2_1
  247   297.915593221   9.0   4_-1_1
  248   299.985431630  19.0   9_8_0
  249   299.990000000  33.0  16_-5_0
  250   300.415037711  11.0   5_-4_1
  251   300.720197365   9.0   4_3_1
  252   301.135201431  25.0  12_-7_0
  253   302.293427193  35.0  17_-4_0
  254   303.275000000  23.0  11_1_1
  255   303.573000000  37.0  18_3_0
  256   304.055000000  39.0  19_-1_0
  257   304.993175456  17.0   8_4_1
  258   305.849000000  17.0   8_-2_1
  259   305.962000000  11.0   5_-1_1
  260   306.244366176  13.0   6_2_1
  261   306.618878364  21.0  10_-8_0
  262   307.231000000  21.0  10_-3_1
  263   307.947000000  35.0  17_4_0
  264   308.354928875  33.0  16_5_0
  265   308.621997479  39.0  19_0_0
  266   308.764852918  11.0   5_3_1
  267   309.602392245  23.0  11_0_1
  268   310.068891660  13.0   6_-4_1
  269   312.250991606  31.0  15_6_0
  270   313.832000000  37.0  18_-3_0
  271   314.852618403  27.0  13_7_0
  272   315.611000000  39.0  19_1_0
  273   315.618000000  13.0   6_-1_1
  274   316.104136226  21.0  10_8_0
  275   316.652612261  39.0  19_2_0
  276   316.905000000  11.0   5_5_1
  277   317.508000000  15.0   7_2_1
  278   318.416198731  13.0   6_3_1
  279   319.326245777  31.0  15_-6_0
  280   319.468444542  19.0   9_4_1
  281   319.557234102  39.0  19_-2_0
  282   320.325000000  19.0   9_-2_1
  283   321.331657982  15.0   7_-4_1
  284   322.086681613  27.0  13_-7_0
  285   322.573000000  25.0  12_1_1
  286   324.345837778  23.0  11_-8_0
  287   324.921000000  23.0  11_-3_1
  288   326.559128757  13.0   6_5_1
  289   326.883000000  15.0   7_-1_1
  290   327.386000000  35.0  17_-5_0
  291   328.899479672  25.0  12_0_1
  292   329.675000000  15.0   7_3_1
  293   330.380379319  17.0   8_2_1
  294   331.293693368  37.0  18_-4_0
  295   333.833417896  23.0  11_8_0
  296   334.203328271  17.0   8_-4_1
  297   334.230000000  39.0  19_3_0
  298   335.550276993  21.0  10_4_1
  299   335.745000000  35.0  17_5_0
  300   336.132000000  41.0  20_-1_0
  301   336.406024550  21.0  10_-2_1
  302   336.954108069  37.0  18_4_0
  303   337.413997682  29.0  14_7_0
  304   337.822975493  15.0   7_5_1
  305   338.031738648  33.0  16_6_0
  306   339.756048980  17.0   8_-1_1
  307   340.583000000  41.0  20_0_0
  308   342.538680723  17.0   8_3_1
  309   343.475897636  27.0  13_1_1
  310   343.682302550  25.0  12_-8_0
  311   344.217597449  25.0  12_-3_1
  312   344.445677760  39.0  19_-3_0
! NUMBER OF RADIATIVE TRANSITIONS
1382
!TRANS + U + L + A(s^-1) + FREQ(GHz) + E_u/k(K)
    1    80    79  3.885E-11           2.92596400   167.63
    2   150   149  1.018E-10           3.27999300   306.73
    3    15    14  1.508E-15           3.38731600    28.44
    4    97    96  4.679E-10           7.28344900   208.00
    5   260   259  5.431E-14           8.46512500   440.61
    6    31    29  1.116E-12           9.40082900    63.10
    7    47    46  1.669E-09           9.93620200   102.07
    8     6     5  8.346E-09          12.17859700    12.19
    9   264   263  2.765E-09          12.22940000   443.65
   10   196   195  1.776E-10          13.77555300   370.38
   11   133   132  8.532E-11          14.90522200   283.56
   12    29    28  5.911E-13          15.61729400    62.65
   13   171   170  7.891E-09          16.39574000   334.06
   14    59    57  2.959E-12          18.34596900   123.38
   15     9     8  1.713E-08          19.96739600    20.11
   16   214   211  1.306E-08          20.90887000   395.52
   17   293   292  1.933E-09          21.14674000   475.34
   18   239   237  6.652E-13          22.89498000   419.99
   19    79    78  7.019E-11          23.38712900   167.49
   20    27    25  2.307E-12          23.44320200    53.95
   21    21    20  1.923E-12          24.59202600    41.22
   22    92    90  9.214E-11          24.91230300   194.22
   23    14    13  7.232E-08          24.92870700    28.27
   24    19    18  7.875E-08          24.93346800    37.56
   25    11     9  5.755E-08          24.93438200    21.31
   26    24    23  8.270E-08          24.95907900    49.17
   27    31    28  8.593E-08          25.01812300    63.10
   28    38    37  8.920E-08          25.12487200    79.36
   29    45    44  9.297E-08          25.29441600    97.94
   30   217   215  3.333E-13          25.31812700   398.06
   31    55    54  9.755E-08          25.54139800   118.84
   32    66    65  1.032E-07          25.87826600   142.07
   33    80    78  1.100E-07          26.31312400   167.63
   34    93    92  1.179E-07          26.84723300   195.50
   35   278   277  4.142E-09          27.22711300   458.13
   36   187   185  2.940E-08          27.28314000   359.73
   37   106   105  1.270E-07          27.47253100   225.71
   38   159   158  6.365E-10          28.06925800   319.72
   39   122   121  1.366E-07          28.16946200   258.23
   40    15    13  4.119E-08          28.31606700    28.44
   41   140   138  1.460E-07          28.90581200   293.08
   42   167   166  1.540E-07          29.63693600   330.24
   43   195   193  1.592E-07          30.30803400   369.71
   44    69    67  2.803E-11          30.40088800   145.73
   45   231   228  1.602E-07          30.85830100   411.50
   46   275   272  1.560E-07          31.22675000   455.59
   47    23    22  3.625E-12          32.47861100    47.97
   48   145   142  7.570E-08          34.23694600   298.48
   49   231   227  4.112E-09          35.47855000   411.50
   50    10     8  1.541E-07          36.16926500    20.89
   51   302   299  7.096E-08          36.24814800   484.80
   52    40    39  1.000E-07          37.70370000    83.01
   53    39    38  1.325E-10          38.46476800    81.20
   54   247   246  2.435E-12          39.74028500   428.63
   55    87    86  8.380E-08          41.11004000   184.44
   56    13    12  1.419E-11          44.02940000    27.08
   57    11     8  1.686E-12          44.90182500    21.31
   58   148   144  3.770E-07          44.95581000   299.62
