# This is the data used to generate the table HM05 continuum
# This file was obtained from Francesco Haardt on Aug 6 2005.  It is a revised version of the
#>>refer	background	continuum	Haardt, F. & Madau, P. 1996, ApJ, 461, 20
# continuum.  This version includes a galaxy contribution in addition to the quasar continuum
# the CMB is not included.  
# the first line that is not a comment is a magic number to identify the version
# all remaining data are from the original file, with the exctption that the redshifts must not use exponential format
# the units of the continuum are erg cm-2 s-1 Hz-1 sr-1
# several changes were made to their original file for it to be used.  There were several wavelengths were had identical
# values.  Cloudy requries that the wavelengths be in increasing order.  The redshift were given in a variety of foramts.
# Cloudy requies that they all be floating format, not exponential
# the highest redshift had only zeros - I deleted that column
# any line starting with a # is a comment
 50808    
wavelength(A)	z=0	z=0.04912	z=.1006	z=.1547	z=.2114	z=.2709	z=.3333	z=.3988	z=.4675	z=.5396	z=.6152	z=.6945	z=.7778	z=.8651	z=.9567	z=1.053	z=1.154	z=1.259	z=1.370	z=1.4870	z=1.609	z=1.737	z=1.871	z=2.013	z=2.160	z=2.316	z=2.479	z=2.649	z=2.829	z=3.0170	z=3.214	z=3.421	z=3.638	z=3.866	z=4.105	z=4.356	z=4.619	z=4.895	z=5.184	z=5.4880	z=5.807	z=6.141	z=6.492	z=6.859	z=7.246	z=7.650	z=8.075	z=8.521	z=8.989	z=9.479
0.003207	1.519E-33	2.058E-33	2.764E-33	3.665E-33	4.782E-33	6.135E-33	7.755E-33	9.676E-33	1.192E-32	1.451E-32	1.746E-32	2.076E-32	2.439E-32	2.833E-32	3.253E-32	3.695E-32	4.154E-32	4.624E-32	5.094E-32	5.552E-32	5.976E-32	6.323E-32	6.521E-32	6.582E-32	6.611E-32	6.635E-32	6.657E-32	6.674E-32	6.685E-32	6.686E-32	6.671E-32	6.623E-32	6.513E-32	6.276E-32	5.817E-32	4.935E-32	3.226E-32	1.433E-33	3.181E-44	2.903E-44	2.626E-44	2.352E-44	2.08E-44	1.812E-44	1.545E-44	1.277E-44	1.002E-44	7.089E-45	3.828E-45	0
0.003365	2.473E-33	3.347E-33	4.487E-33	5.941E-33	7.74E-33	9.917E-33	1.252E-32	1.561E-32	1.921E-32	2.337E-32	2.81E-32	3.337E-32	3.918E-32	4.548E-32	5.218E-32	5.922E-32	6.654E-32	7.401E-32	8.149E-32	8.875E-32	9.542E-32	1.009E-31	1.04E-31	1.049E-31	1.054E-31	1.058E-31	1.061E-31	1.064E-31	1.065E-31	1.065E-31	1.062E-31	1.054E-31	1.034E-31	9.948E-32	9.19E-32	7.716E-32	5.05E-32	2.278E-33	4.042E-44	3.69E-44	3.338E-44	2.989E-44	2.643E-44	2.302E-44	1.964E-44	1.623E-44	1.273E-44	9.009E-45	4.865E-45	0
0.00353	3.957E-33	5.348E-33	7.159E-33	9.463E-33	1.231E-32	1.575E-32	1.987E-32	2.474E-32	3.043E-32	3.697E-32	4.441E-32	5.27E-32	6.182E-32	7.17E-32	8.221E-32	9.324E-32	1.047E-31	1.164E-31	1.28E-31	1.393E-31	1.496E-31	1.58E-31	1.628E-31	1.643E-31	1.65E-31	1.656E-31	1.661E-31	1.665E-31	1.667E-31	1.666E-31	1.66E-31	1.645E-31	1.612E-31	1.547E-31	1.421E-31	1.191E-31	7.738E-32	3.342E-33	5.137E-44	4.689E-44	4.242E-44	3.798E-44	3.36E-44	2.926E-44	2.496E-44	2.063E-44	1.618E-44	1.145E-44	6.183E-45	0
0.003704	6.208E-33	8.377E-33	1.119E-32	1.477E-32	1.919E-32	2.452E-32	3.089E-32	3.841E-32	4.719E-32	5.728E-32	6.873E-32	8.15E-32	9.551E-32	1.107E-31	1.268E-31	1.437E-31	1.612E-31	1.791E-31	1.969E-31	2.14E-31	2.296E-31	2.422E-31	2.494E-31	2.516E-31	2.527E-31	2.536E-31	2.544E-31	2.549E-31	2.552E-31	2.549E-31	2.538E-31	2.512E-31	2.458E-31	2.35E-31	2.152E-31	1.792E-31	1.152E-31	4.992E-33	6.529E-44	5.96E-44	5.391E-44	4.827E-44	4.27E-44	3.719E-44	3.172E-44	2.622E-44	2.057E-44	1.455E-44	7.858E-45	0
0.003885	9.608E-33	1.294E-32	1.727E-32	2.275E-32	2.951E-32	3.766E-32	4.739E-32	5.887E-32	7.225E-32	8.763E-32	1.05E-31	1.244E-31	1.457E-31	1.688E-31	1.932E-31	2.188E-31	2.453E-31	2.723E-31	2.991E-31	3.248E-31	3.482E-31	3.671E-31	3.778E-31	3.811E-31	3.827E-31	3.841E-31	3.852E-31	3.86E-31	3.863E-31	3.857E-31	3.838E-31	3.795E-31	3.704E-31	3.535E-31	3.225E-31	2.673E-31	1.72E-31	7.371E-33	8.298E-44	7.574E-44	6.852E-44	6.135E-44	5.426E-44	4.726E-44	4.031E-44	3.332E-44	2.614E-44	1.849E-44	9.987E-45	0
0.004076	1.458E-32	1.961E-32	2.611E-32	3.434E-32	4.445E-32	5.665E-32	7.119E-32	8.833E-32	1.083E-31	1.312E-31	1.571E-31	1.859E-31	2.175E-31	2.516E-31	2.878E-31	3.257E-31	3.648E-31	4.045E-31	4.439E-31	4.816E-31	5.158E-31	5.432E-31	5.585E-31	5.633E-31	5.656E-31	5.676E-31	5.692E-31	5.702E-31	5.704E-31	5.694E-31	5.661E-31	5.587E-31	5.445E-31	5.18E-31	4.705E-31	3.882E-31	2.459E-31	1.017E-32	1.055E-43	9.626E-44	8.708E-44	7.797E-44	6.896E-44	6.007E-44	5.123E-44	4.235E-44	3.322E-44	2.35E-44	1.269E-44	0
0.004276	2.179E-32	2.926E-32	3.889E-32	5.105E-32	6.598E-32	8.396E-32	1.054E-31	1.306E-31	1.599E-31	1.935E-31	2.315E-31	2.737E-31	3.199E-31	3.697E-31	4.226E-31	4.778E-31	5.348E-31	5.926E-31	6.497E-31	7.043E-31	7.535E-31	7.927E-31	8.147E-31	8.217E-31	8.25E-31	8.279E-31	8.3E-31	8.313E-31	8.314E-31	8.294E-31	8.238E-31	8.121E-31	7.897E-31	7.49E-31	6.782E-31	5.553E-31	3.515E-31	1.49E-32	1.34E-43	1.223E-43	1.107E-43	9.909E-44	8.765E-44	7.634E-44	6.511E-44	5.382E-44	4.222E-44	2.987E-44	1.613E-44	0
0.004487	3.223E-32	4.32E-32	5.732E-32	7.511E-32	9.694E-32	1.232E-31	1.544E-31	1.912E-31	2.338E-31	2.827E-31	3.379E-31	3.991E-31	4.662E-31	5.384E-31	6.149E-31	6.948E-31	7.772E-31	8.604E-31	9.426E-31	1.021E-30	1.091E-30	1.148E-30	1.179E-30	1.189E-30	1.194E-30	1.198E-30	1.201E-30	1.202E-30	1.202E-30	1.198E-30	1.189E-30	1.171E-30	1.136E-30	1.076E-30	9.7E-31	7.941E-31	5.03E-31	2.072E-32	1.703E-43	1.555E-43	1.407E-43	1.259E-43	1.114E-43	9.702E-44	8.275E-44	6.84E-44	5.365E-44	3.797E-44	2.05E-44	0
0.004707	4.69E-32	6.275E-32	8.311E-32	1.087E-31	1.401E-31	1.777E-31	2.225E-31	2.751E-31	3.361E-31	4.059E-31	4.846E-31	5.719E-31	6.673E-31	7.701E-31	8.787E-31	9.921E-31	1.109E-30	1.226E-30	1.342E-30	1.453E-30	1.552E-30	1.63E-30	1.673E-30	1.687E-30	1.694E-30	1.699E-30	1.703E-30	1.705E-30	1.704E-30	1.698E-30	1.683E-30	1.655E-30	1.603E-30	1.513E-30	1.361E-30	1.11E-30	6.928E-31	2.815E-32	2.165E-43	1.976E-43	1.788E-43	1.601E-43	1.416E-43	1.233E-43	1.052E-43	8.693E-44	6.819E-44	4.825E-44	2.606E-44	0
0.004938	6.741E-32	9.002E-32	1.19E-31	1.554E-31	1.999E-31	2.533E-31	3.166E-31	3.91E-31	4.771E-31	5.756E-31	6.865E-31	8.094E-31	9.436E-31	1.088E-30	1.24E-30	1.399E-30	1.563E-30	1.727E-30	1.889E-30	2.042E-30	2.179E-30	2.287E-30	2.347E-30	2.366E-30	2.376E-30	2.383E-30	2.388E-30	2.39E-30	2.387E-30	2.377E-30	2.354E-30	2.312E-30	2.235E-30	2.105E-30	1.888E-30	1.528E-30	9.534E-31	3.9E-32	2.751E-43	2.511E-43	2.272E-43	2.034E-43	1.799E-43	1.567E-43	1.337E-43	1.105E-43	8.666E-44	6.132E-44	3.311E-44	0
