#
# this is a list of the lowest and strongest He-like transitions
# of the first 30 elements
# the entry El n  0 is the two-photon continuum
#
#>>chng 06 jul 21 add third n=2 line as per Ryan's LOC run
#>>chng 06 aug 17, further lines added for Ryan's loc run
#>>chng 06 aug 18, use mean wl of 2S - 2P multiplet
#
# helium lines are
# 2s 1S  - ground - two-photon
# 2p 3P  - ground
# 2s 3S  - ground
# 2p 1P  - ground
# 2p 3P  - 2s 3S - entire multiplet with mean wl
# 2p 1P  - 2s 1S
#
Mn24	2.02551A
Mn24	2.00607A
TOTL	389.091A
Mn24	449.317A
Mn24	421.124A
Mn24	296.833A
Mn24	422.690A
#
Fe25	    0A
TOTL	1.85951A
Fe25	1.85541A
Fe25	1.86819A
Fe25	1.85040A
TOTL	366.563A
Fe25	428.229A
Fe25	400.304A
Fe25	271.157A
Fe25	382.760A
#
Co26	    0 
TOTL	1.72059A
Co26	1.71641A
Co26	1.72839A
Co26	1.71199A
TOTL	345.846A
Co26	408.647A
Co26	381.243A
Co26	247.647A
Co26	346.344A
#
Ni27	    0 
TOTL	1.59658A
Ni27	1.59233A
Ni27	1.60362A
Ni27	1.58850A
TOTL	326.896A
Ni27	390.529A
Ni27	363.877A
Ni27	226.283A
Ni27	316.987A
#
Cu28	    0 
TOTL	1.48538A
Cu28	1.48106A
Cu28	1.49175A
Cu28	1.47758A
TOTL	309.299A
Cu28	373.455A
Cu28	347.741A
Cu28	206.701A
Cu28	283.198A
#
Zn29	    0 
TOTL	1.38530A
Zn29	1.38092A
Zn29	1.39109A
Zn29	1.37781A
TOTL	293.066A
Zn29	357.270A
Zn29	333.0A
Zn29	188.929A
Zn29	256.016A

