#radius	depth	vel [cm/s]	Tot accel [cm s-2]	Lin accel [cm s-2]	Con accel [cm s-2]	force multiplier	a_gravity
6.93240e+11	2.50000e-01	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	1.50000e+00	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	6.50000e+00	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	2.65000e+01	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	6.33000e+01	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	1.11140e+02	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	1.73332e+02	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	2.54182e+02	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	3.59286e+02	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	4.95922e+02	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	6.73548e+02	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	9.04463e+02	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	1.20465e+03	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	1.59490e+03	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	2.10222e+03	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	2.76173e+03	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	3.61910e+03	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	4.73368e+03	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	6.18264e+03	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	8.06628e+03	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
6.93240e+11	9.58749e+03	0.0000e+00	1.9721e-03	6.1920e-04	1.3529e-03	1.4674e+00	0.0000e+00
