# r_s/rearth = 4.08333
#  All in CGS except for r (in rearth); for numpy use `a = genfromtxt( <file_name>, skip_header = 2, names = True )`
#  r_rearth rho T v n_H n_H+ n_H2 n_He n_He+ n_He_e
8.407328282896903815e+00 2.365411593220385164e+07 1.061854416935587324e+04 1.474832676527669886e+06 3.295734942855572328e+06 1.401177508097856771e+06 1.024666070976604226e-02 5.990100748828055803e+05 4.081044881258052308e+06 1.284753899112933695e+01
8.822010304969648331e+00 2.087894312674412504e+07 1.052546326156124269e+04 1.514937270262232050e+06 2.869027475199503358e+06 1.276837853706398280e+06 8.746855216115814041e-03 4.871243643810527865e+05 3.643861516763522290e+06 1.094166564237020545e+01
9.257146051893389682e+00 1.845767766887090355e+07 1.043412514330137310e+04 1.555246800207111519e+06 2.500380970605687238e+06 1.164708946376587963e+06 7.495119670338707026e-03 3.957674302068410907e+05 3.256168924464460928e+06 9.325812878158570740e+00
9.713744380667003853e+00 1.633705684394230135e+07 1.033668762562923075e+04 1.594894726564657409e+06 2.181156975353949238e+06 1.062853776542904787e+06 6.407004407932025830e-03 3.214301383810934494e+05 2.910938688849788625e+06 7.931254619690935037e+00
1.019286390902742134e+01 1.447968558511449769e+07 1.024084911264581206e+04 1.635017816160684684e+06 1.904444091196977999e+06 9.707585896939552622e+05 5.421378804959770849e-03 2.606946301202855539e+05 2.604189927082841750e+06 6.728204424359987001e+00
1.069561546984210132e+01 1.285817601407417469e+07 1.014949060091088904e+04 1.676006559445391176e+06 1.665373713530340465e+06 8.878539424363787984e+05 4.534440293404553950e-03 2.113186964883096516e+05 2.332746589289238676e+06 5.713360252530520711e+00
1.122316468656168453e+01 1.143162668231200613e+07 1.005913522714840656e+04 1.717224001385768410e+06 1.457423126938304398e+06 8.125413325309331995e+05 3.623092610252690460e-03 1.710533855562252575e+05 2.090765374562606215e+06 4.835124587171676147e+00
1.177673467570396326e+01 1.017491651508505829e+07 9.967368296976990678e+03 1.758901999223425984e+06 1.276354683226988884e+06 7.440702051780461334e+05 2.886543843196171834e-03 1.382687940599852882e+05 1.874906007599780569e+06 4.085528985858397633e+00
1.235760888263482826e+01 9.069808068031974137e+06 9.879340488295365503e+03 1.801370484589317814e+06 1.118878683348039165e+06 6.821090228803658392e+05 2.356210678163136833e-03 1.115859858138958807e+05 1.682939210704194382e+06 3.448880478970561825e+00
1.296713405722090151e+01 8.097208375692418776e+06 9.794819431453177458e+03 1.844617087671512272e+06 9.819463688705891836e+05 6.259156694067830686e+05 1.864773176688567765e-03 8.995947744232330297e+04 1.512133092880194541e+06 2.913765810712849902e+00
1.360672337625292094e+01 7.241043472483290359e+06 9.716833693780235990e+03 1.888751578049461357e+06 8.627772165224909550e+05 5.750788382849646732e+05 1.420896574197336865e-03 7.241387373967994063e+04 1.360282860165430233e+06 2.453509339572067294e+00
1.427785971987918323e+01 6.480216681566797197e+06 9.636007391483184620e+03 1.933310709136305377e+06 7.582219051691213390e+05 5.285588387992666103e+05 1.105669694509986726e-03 5.814557896340759908e+04 1.224017971029915381e+06 2.066016850128407967e+00
1.498209910964527758e+01 5.804437932943897322e+06 9.553925272573644179e+03 1.978491769572123652e+06 6.665473614496287191e+05 4.860456165312525118e+05 8.700823833367425523e-04 4.657269354888063390e+04 1.101884656951229088e+06 1.738377950275849404e+00
1.572107431611136441e+01 5.206987800927680917e+06 9.477024892943092709e+03 2.025489285528243519e+06 5.864933794972399483e+05 4.474651332073117956e+05 6.496104004160201204e-04 3.721255563474896917e+04 9.930360372817553580e+05 1.459850091821552898e+00
1.649649864441113678e+01 4.679743754076716490e+06 9.408173776655676193e+03 2.074149190638493281e+06 5.167099967842526967e+05 4.125545167767792009e+05 4.795970979071092414e-04 2.968306150872832222e+04 8.962472605015009176e+05 1.227527441793768270e+00
1.731016990652910081e+01 4.209905065791263245e+06 9.342175833225937822e+03 2.123980678193620872e+06 4.553328910706778988e+05 3.806363970259703347e+05 3.700345221835239480e-04 2.359516518172337237e+04 8.093747068849265343e+05 1.032486175364223602e+00
1.816397458950607913e+01 3.790412705583635252e+06 9.273988720063653091e+03 2.174648663139041513e+06 4.013509589176787995e+05 3.513201494177504792e+05 2.766564605392339343e-04 1.870350338111484234e+04 7.312670612959201680e+05 8.686920650152202272e-01
1.905989222923680870e+01 3.420131701028423384e+06 9.221633620874405096e+03 2.226462581969955470e+06 3.542184541335627437e+05 3.249261910945202690e+05 2.020020942425836889e-04 1.478472372728562914e+04 6.619231971887452528e+05 7.335959565008332017e-01
1.999999999999999645e+01 3.098119000000000000e+06 9.141847656250000000e+03 2.306528142057368066e+06 3.145358437500000000e+05 3.006667187500000000e+05 1.811553374864161015e-04 1.188031445312500000e+04 6.011150000000000000e+05 6.245106458663940430e-01
