T(BB)	T(equil)	error
4.000000e+00	3.998799e+00	2.768755e-03
4.500000e+00	4.500091e+00	-2.088535e-04
5.000000e+00	5.000072e+00	-1.657353e-04
5.500000e+00	5.499704e+00	6.806800e-04
6.000000e+00	5.999701e+00	6.895118e-04
6.500000e+00	6.499701e+00	6.895449e-04
7.000000e+00	6.999744e+00	5.901239e-04
7.500000e+00	7.499705e+00	6.797190e-04
biggest error was 0.00276876
